Year,CO2
1750,9305937.0
1751,9407229.0
1752,9505168.0
1753,9610490.0
1754,9733580.0
1755,9793468.0
1756,9909914.0
1757,10093936.0
1758,10216358.0
1759,10338854.0
1760,10514331.0
1761,10747885.0
1762,10952198.0
1763,11191592.0
1764,11396982.0
1765,11643486.0
1766,11876080.0
1767,12152509.0
1768,12466936.0
1769,12780074.0
1770,13097216.0
1771,13369488.0
1772,13623507.0
1773,13808138.0
1774,14012415.0
1775,14338920.0
1776,14654124.0
1777,14959537.0
1778,15243483.0
1779,15535235.0
1780,15878726.0
1781,16234383.0
1782,16580954.0
1783,17062752.0
1784,17471092.0
1785,17965128.0
1786,18447496.0
1787,18859130.0
1788,19286228.0
1789,19863424.0
1790,20398094.0
1791,20931750.0
1792,21929214.0
1793,22297260.0
1794,22519656.0
1795,22315246.0
1796,22121374.0
1797,22090078.0
1798,23105928.0
1799,27485206.0
1800,32798352.0
1801,31986050.0
1802,40310476.0
1803,29538506.0
1804,31769176.0
1805,31251818.0
1806,32704620.0
1807,36200652.0
1808,35497788.0
1809,36333812.0
1810,39492310.0
1811,40176680.0
1812,40814520.0
1813,41206140.0
1814,42226650.0
1815,43587264.0
1816,45496580.0
1817,49275920.0
1818,51392010.0
1819,50930170.0
1820,50733076.0
1821,52059348.0
1822,54021710.0
1823,56357760.0
1824,57583636.0
1825,60730864.0
1826,61382130.0
1827,65738572.0
1828,66681790.0
1829,66307412.0
1830,88988260.0
1831,83250616.0
1832,82091560.0
1833,83248700.0
1834,88763100.0
1835,97399600.0
1836,106894500.0
1837,106199420.0
1838,105845260.0
1839,109653030.0
1840,118808510.0
1841,122165550.0
1842,129388790.0
1843,132369384.0
1844,141942270.0
1845,155037360.0
1846,157656130.0
1847,170740910.0
1848,173579870.0
1849,184931980.0
1850,196751970.0
1851,198668110.0
1852,207414200.0
1853,217120430.0
1854,255033170.0
1855,260104400.0
1856,277296450.0
1857,279932000.0
1858,284225150.0
1859,301481250.0
1860,330962600.0
1861,347785820.0
1862,354488900.0
1863,378180160.0
1864,407725980.0
1865,432859140.0
1866,446553600.0
1867,478160740.0
1868,491551940.0
1869,521954200.0
1870,533338270.0
1871,566891300.0
1872,627301250.0
1873,666481200.0
1874,624232500.0
1875,677113860.0
1876,686780200.0
1877,700404400.0
1878,705973570.0
1879,755990460.0
1880,853916350.0
1881,883544060.0
1882,933360100.0
1883,992753600.0
1884,1004134100.0
1885,1011637100.0
1886,1027417500.0
1887,1078746900.0
