Year,GDP
1990,9718.008
1991,9682.053
1992,9679.046
1993,9687.982
1994,9811.624
1995,9968.673
1996,10192.945
1997,10440.53
1998,10553.451
1999,10776.4795
2000,11138.261
2001,11246.503
2002,11398.571
2003,11668.422
2004,12105.38
2005,12495.379
2006,12969.546
2007,13464.804
2008,13658.74
2009,13391.307
2010,13899.494
2011,14263.109
2012,14535.867
2013,14820.272
2014,15139.448
2015,15461.115
2016,15777.592
2017,16186.471
2018,16588.588
2019,16877.473
2020,16213.376
2021,17091.352
2022,17527.19
